Guest_ID,Lead_Time_Days,Avg_Daily_Rate_USD,Length_Of_Stay_Days
G_1783,1.0,193.9,2.2
G_3918,53.1,119.2,8.3
G_222,1.0,203.8,2.4
G_2136,42.8,127.6,6.3
G_5225,7.1,78.1,3.5
G_1169,3.9,217.6,1.6
G_880,4.8,215.3,2.5
G_157,5.8,210.6,2.3
G_1658,5.0,167.8,2.0
G_324,6.1,261.9,1.5
G_5303,3.9,80.2,2.3
G_2612,74.4,141.6,8.7
G_812,2.3,204.1,1.0
G_394,5.7,203.7,1.7
G_3594,58.5,152.7,8.9
G_2639,54.0,140.2,6.3
G_2188,77.5,142.6,5.4
G_5352,5.9,66.1,2.8
G_320,2.8,192.5,1.8
G_168,5.8,188.6,1.9
G_747,3.3,226.0,2.1
G_5471,6.5,80.5,2.1
G_3708,59.3,149.9,7.9
G_2765,30.0,128.7,9.3
G_5113,6.7,71.8,2.3
G_4007,6.2,74.2,2.1
G_1872,2.7,223.9,2.1
G_5757,8.4,74.2,2.6
G_3194,74.9,136.9,6.1
G_3755,60.8,120.8,6.1
G_5626,7.8,99.6,2.5
G_4895,4.3,67.5,3.5
G_4103,4.7,85.0,3.5
G_1262,3.1,221.2,1.6
G_2339,62.1,133.0,6.2
G_085,1.8,206.2,2.7
G_3822,72.8,137.9,4.9
G_2654,65.1,127.2,4.5
G_5546,7.2,71.5,1.5
G_2747,45.7,128.0,6.7
G_2859,50.7,97.9,8.5
G_997,5.7,226.4,2.4
G_229,1.9,173.3,2.1
G_3265,57.8,111.3,7.5
G_4829,5.9,86.0,3.5
G_3943,38.3,170.4,8.2
G_5460,4.9,80.4,2.9
G_3833,69.6,120.9,7.6
G_1653,3.3,231.1,1.9
G_080,1.0,208.7,1.8
G_965,2.9,250.6,1.7
G_927,2.2,217.1,1.8
G_795,1.4,219.2,1.9
G_3380,66.0,133.1,7.1
G_3165,48.9,148.8,10.4
G_4658,6.3,65.8,2.8
G_3312,48.7,110.9,5.4
G_3935,57.2,131.2,6.4
G_1075,4.5,201.7,2.1
G_4841,3.3,74.7,1.0
G_4184,2.2,68.9,1.9
G_2025,55.2,80.0,8.1
G_5678,5.2,65.4,2.8
G_4635,5.0,81.0,3.1
G_1746,3.4,215.5,2.2
G_3144,34.8,122.2,9.0
G_3264,80.4,114.7,4.9
G_3122,47.4,101.6,7.1
G_1452,5.6,188.6,2.1
G_440,2.9,179.8,2.3
G_3317,46.1,124.3,8.4
G_4544,4.5,77.1,1.4
G_2982,79.6,157.4,7.4
G_2081,83.2,116.1,9.8
G_4021,3.8,71.8,2.5
G_1455,3.8,150.0,2.5
G_255,1.0,188.7,2.1
G_466,2.7,242.2,1.4
G_2118,47.4,136.8,7.7
G_507,2.1,293.7,2.3
G_4272,5.3,84.5,2.7
G_4289,4.3,73.1,2.7
G_4214,7.5,73.5,4.0
G_234,2.0,242.3,2.3
G_554,3.4,229.7,1.5
G_5315,6.4,68.8,3.6
G_545,1.0,280.7,2.2
G_3701,73.4,125.1,7.9
G_3541,69.1,136.6,6.0
G_2789,43.5,143.6,4.4
G_2865,59.8,139.4,6.9
G_2084,62.0,145.6,9.4
G_5543,3.7,76.0,3.9
G_309,3.8,233.4,1.9
G_711,3.3,199.5,1.7
G_4104,7.2,70.8,2.2
G_1581,3.3,273.1,3.0
G_1311,3.0,190.5,1.9
G_626,2.2,198.5,2.6
G_024,1.0,187.3,2.4
G_2532,66.9,101.1,6.2
G_1871,1.3,185.2,1.7
G_5111,7.5,93.2,2.1
G_3489,63.8,120.4,6.1
G_1171,4.1,196.4,2.2
G_4746,5.0,76.0,2.5
G_2119,68.3,125.4,5.9
G_3019,79.4,126.1,5.0
G_1195,1.0,181.6,1.1
G_2246,67.5,103.0,6.2
G_2874,53.2,124.0,7.9
G_5640,5.2,63.3,1.2
G_2550,68.7,123.8,8.1
G_3155,54.2,124.1,5.4
G_094,2.5,191.5,2.1
G_2078,46.6,152.7,5.4
G_470,2.1,214.8,2.2
G_788,3.7,187.6,1.7
G_1700,3.3,214.4,2.3
G_1838,3.2,229.5,2.7
G_3064,61.8,114.2,8.5
G_1707,4.0,206.9,2.5
G_3968,54.3,129.8,9.3
G_3863,38.8,140.6,7.9
G_3665,73.4,118.2,7.2
G_5892,6.9,74.8,1.6
G_3205,33.8,107.6,9.0
G_605,3.6,204.4,1.5
G_4943,3.3,67.5,1.9
G_1551,2.8,206.7,1.5
G_4709,11.6,83.7,2.9
G_4835,6.0,61.2,3.0
G_3186,70.3,128.7,5.4
G_4387,4.3,66.5,2.7
G_1587,3.3,202.6,1.7
G_3120,70.3,157.5,8.5
G_3400,80.5,142.8,6.7
G_402,2.1,224.4,2.5
G_032,5.8,195.7,1.3
G_1484,2.4,218.4,2.0
G_2681,55.3,107.5,5.8
G_600,3.6,207.7,2.7
G_3150,48.9,138.3,8.4
G_5545,5.8,67.2,1.3
G_1861,2.8,208.7,2.6
G_566,2.4,209.8,1.7
G_2214,40.4,110.4,6.8
G_1967,2.7,227.8,2.4
G_866,2.4,212.3,1.2
G_4608,6.6,65.7,3.0
G_2451,55.9,94.9,7.7
G_5693,8.6,72.6,3.4
G_813,5.2,263.5,2.3
G_1478,3.6,167.4,2.0
G_4735,4.2,75.5,2.8
G_2272,71.1,151.2,6.4
G_1039,3.3,195.9,2.8
G_4527,2.9,75.4,1.7
G_081,2.7,220.0,2.3
G_1205,3.1,196.2,3.2
G_3286,44.2,80.0,5.9
G_1546,3.7,227.8,1.2
G_178,5.2,224.6,2.2
G_2586,61.6,141.1,5.1
G_5993,6.2,79.6,2.2
G_4864,2.1,72.7,1.7
G_1439,3.7,187.8,2.2
G_297,4.3,230.5,1.5
G_3616,43.8,138.1,7.0
G_3648,90.7,129.4,6.9
G_158,3.7,212.1,1.8
G_1028,3.2,231.2,1.8
G_411,4.1,240.5,1.7
G_3959,61.4,143.0,5.8
G_5938,3.4,79.0,2.9
G_4957,3.8,74.4,4.1
G_4757,5.8,80.6,3.4
G_5448,3.2,55.1,2.4
G_2182,55.4,135.9,7.3
G_5809,8.2,83.9,2.5
G_811,2.7,217.1,2.4
G_4916,5.7,62.6,2.1
G_4954,2.6,67.5,3.9
G_3734,60.0,105.1,6.7
G_5164,6.3,95.9,1.8
G_2978,75.0,129.0,6.1
G_3796,77.9,154.9,6.2
G_2169,57.6,114.9,5.5
G_3078,90.9,106.9,5.4
G_1695,3.2,241.8,2.9
G_1025,5.6,173.3,3.1
G_3947,76.8,83.1,7.9
G_2125,83.0,123.3,6.6
G_5295,7.9,53.6,2.3
G_2705,56.3,164.9,7.9
G_1034,4.0,195.4,2.3
G_5872,5.4,79.1,2.7
G_5365,5.1,60.5,3.1
G_4160,5.3,69.2,2.0
G_1701,3.5,246.6,2.0
G_2914,77.5,135.6,7.8
G_4879,6.7,73.9,3.6
G_3321,69.5,121.0,7.6
G_5027,6.6,75.9,2.3
G_2583,56.0,97.6,6.3
G_5284,3.1,82.2,1.4
G_4251,6.9,98.4,2.5
G_1187,1.5,190.1,1.8
G_3738,67.8,120.1,9.9
G_784,3.9,193.9,1.5
G_4403,4.6,83.7,3.2
G_051,3.5,240.6,1.6
G_713,2.2,232.5,2.2
G_2307,47.8,101.5,7.0
G_3868,72.2,132.3,4.0
G_2447,48.5,143.3,8.2
G_2241,56.8,134.3,9.5
G_4604,4.3,80.1,2.3
G_4791,5.9,77.5,2.8
G_3104,55.5,157.6,7.4
G_5567,6.2,66.5,3.6
G_677,1.3,228.7,2.3
G_5557,1.5,82.2,2.8
G_3640,32.6,125.2,7.9
G_2695,67.8,129.3,8.0
G_2996,55.5,132.0,7.4
G_1563,1.0,165.3,1.7
G_3650,44.1,134.3,8.5
G_2466,72.1,122.4,5.9
G_347,1.0,208.0,2.0
G_1497,6.1,240.4,1.9
G_2345,60.5,90.2,7.9
G_3906,58.9,104.8,10.9
G_3659,71.4,156.1,7.8
G_623,5.8,222.1,1.6
G_4097,7.7,81.9,2.5
G_1401,1.4,232.3,1.4
G_3298,44.1,115.8,6.3
G_3986,47.4,122.1,8.1
G_5182,2.8,55.4,2.2
G_4618,6.1,90.4,4.2
G_325,1.5,219.9,1.6
G_2998,52.1,161.8,8.8
G_038,1.0,207.3,1.9
G_5375,5.0,58.0,1.0
G_4185,6.0,78.1,2.8
G_531,4.0,231.8,2.1
G_2643,47.2,152.9,8.6
G_3681,68.0,122.0,5.5
G_2349,42.5,141.7,8.2
G_2785,70.3,105.9,9.4
G_5493,4.6,73.4,2.8
G_2226,55.1,120.4,8.4
G_1074,1.1,260.8,1.2
G_1198,3.8,172.9,1.8
G_5139,6.2,78.1,2.8
G_264,1.5,193.2,1.9
G_1730,5.8,162.1,2.0
G_5329,5.1,75.4,4.6
G_908,4.1,191.7,1.4
G_1336,2.5,186.4,1.8
G_1394,3.2,218.1,2.1
G_961,4.0,199.4,1.8
G_240,4.3,237.2,2.0
G_200,1.3,232.2,2.3
G_2418,82.1,131.9,7.3
G_5470,5.9,66.2,3.2
G_4311,8.3,75.3,2.6
G_4715,5.3,68.8,1.8
G_5791,3.4,86.9,2.0
G_326,1.2,236.7,2.5
G_2678,46.5,138.9,7.3
G_5824,6.5,61.2,1.8
G_4419,7.6,84.7,1.3
G_102,2.4,197.4,1.6
G_1738,1.4,216.0,2.7
G_5262,4.8,85.5,3.5
G_878,3.3,203.3,2.2
G_5893,4.8,81.4,2.3
G_409,3.2,240.3,2.3
G_3746,47.9,143.0,7.9
G_1245,2.0,215.7,2.5
G_2288,70.5,109.5,7.0
G_1355,2.1,205.2,1.7
G_2858,55.6,132.7,5.0
G_894,4.8,225.4,1.9
G_1182,5.1,233.1,1.8
G_4656,8.2,96.1,2.9
G_5323,7.7,100.0,2.1
G_3699,66.7,154.1,7.6
G_4467,4.4,92.8,2.5
G_4326,5.5,73.0,3.1
G_731,3.3,250.8,1.4
G_1033,3.6,231.3,2.4
G_3067,54.2,112.1,6.6
G_5659,5.3,75.5,2.0
G_4897,4.9,82.2,3.2
G_978,1.0,198.8,2.1
G_4970,5.5,81.5,2.9
G_2623,65.5,124.3,7.7
G_1226,2.8,195.3,1.5
G_1210,5.6,231.3,2.0
G_5481,9.2,71.8,3.2
G_587,2.3,187.0,2.5
G_5455,3.3,83.5,2.3
G_2821,89.9,137.6,5.5
G_5756,3.3,66.4,1.1
G_2719,86.2,140.5,9.2
G_5625,3.8,73.1,1.0
G_1761,5.5,228.1,2.0
G_3050,42.7,147.9,10.3
G_1870,2.4,244.9,1.8
G_1545,2.1,254.4,1.8
