Guest_ID,Stay_Duration_Days,Daily_Spend_ADR,Total_Spend
G4030,2,328.75,657.51
G1267,5,117.91,589.54
G3661,2,329.22,658.44
G2589,5,126.86,634.31
G0973,6,118.48,710.85
G3786,1,333.06,333.06
G4914,2,338.25,676.5
G3643,1,333.97,333.97
G5601,1,302.16,302.16
G2282,5,121.59,607.95
G4740,2,308.18,616.35
G1570,5,115.14,575.71
G0251,4,121.03,484.13
G1358,6,111.76,670.56
G0268,4,111.22,444.88
G5791,1,306.73,306.73
G3747,1,328.23,328.23
G3482,1,323.47,323.47
G5926,2,331.11,662.22
G2407,4,99.68,398.74
G3731,3,310.84,932.52
G5446,1,338.9,338.9
G2655,5,106.24,531.21
G0249,7,117.29,821.03
G4248,2,339.47,678.94
G3198,1,351.21,351.21
G5142,1,352.06,352.06
G5406,1,338.57,338.57
G5524,1,316.27,316.27
G2885,3,100.21,300.64
G0775,6,97.29,583.74
G3639,1,320.83,320.83
G1323,5,127.2,636.01
G0934,3,122.61,367.83
G1370,5,117.23,586.16
G5180,1,332.68,332.68
G4660,1,312.32,312.32
G5284,1,324.8,324.8
G0549,6,103.88,623.31
G1089,5,126.4,631.98
G0330,6,123.35,740.09
G4412,2,332.67,665.34
G5679,2,313.44,626.88
G1716,5,114.62,573.11
G1960,6,120.03,720.19
G2847,5,144.27,721.36
G4545,2,325.99,651.98
G3176,1,324.34,324.34
G3532,2,348.48,696.97
G4674,1,316.2,316.2
G1859,6,116.31,697.84
G5727,3,337.94,1013.82
G2716,3,110.74,332.23
G3246,2,318.55,637.1
G0215,5,122.36,611.78
G0274,6,122.21,733.27
G2412,7,109.76,768.35
G5773,1,338.69,338.69
G2952,6,115.25,691.52
G2247,5,109.0,545.01
G3763,2,332.97,665.95
G2259,3,98.73,296.19
G0660,5,137.13,685.63
G1584,6,122.84,737.04
G4291,1,315.02,315.02
G3905,1,344.56,344.56
G1331,7,121.81,852.7
G1255,7,117.34,821.37
G1303,5,105.26,526.29
G4083,1,334.1,334.1
G5575,1,321.13,321.13
G3768,2,330.95,661.91
G0903,6,131.69,790.14
G1841,5,106.94,534.68
G4121,1,367.55,367.55
G3374,2,334.97,669.93
G5167,3,310.94,932.83
G0734,4,116.45,465.8
G4925,1,330.53,330.53
G1051,5,107.62,538.1
G3447,1,318.0,318.0
G5868,1,296.63,296.63
G3158,1,338.61,338.61
G0925,7,112.37,786.61
G0192,6,122.12,732.74
G1246,4,99.57,398.28
G4018,1,336.87,336.87
G4253,2,337.92,675.84
G0400,7,110.96,776.69
G3732,1,347.35,347.35
G5024,1,343.84,343.84
G2308,5,106.48,532.42
G3209,1,333.71,333.71
G5609,1,310.78,310.78
G3156,2,323.06,646.11
G1534,5,106.22,531.08
G2359,4,96.93,387.72
G5121,2,336.2,672.4
G5818,2,336.31,672.62
G1338,5,120.03,600.16
G2193,8,120.56,964.48
G2371,5,102.58,512.89
G3807,1,332.36,332.36
G2726,6,102.85,617.11
G5469,1,326.36,326.36
G3454,1,333.45,333.45
G5393,2,337.88,675.76
G2250,6,119.24,715.43
G2252,7,109.61,767.3
G0405,5,119.36,596.8
G4181,2,308.71,617.42
G2441,7,108.98,762.86
G0832,5,109.72,548.59
G5559,1,331.77,331.77
G0763,8,106.87,854.96
G5474,1,327.58,327.58
G5404,1,313.8,313.8
G5489,2,320.59,641.19
G1554,5,105.34,526.69
G1986,6,131.36,788.15
G5482,1,335.04,335.04
G4166,1,337.52,337.52
G5449,1,344.42,344.42
G2859,7,111.99,783.93
G4198,1,345.46,345.46
G2094,4,132.04,528.16
G5220,1,324.25,324.25
G4883,2,322.77,645.55
G0093,5,114.06,570.28
G4236,2,332.2,664.39
G0631,4,120.96,483.86
G3090,1,321.34,321.34
G1271,7,113.68,795.75
G5761,2,331.02,662.05
G4533,2,323.48,646.96
G5828,2,329.97,659.93
G3657,1,339.1,339.1
G4926,2,313.7,627.4
G4434,1,329.28,329.28
G1885,5,121.32,606.62
G5534,2,306.44,612.89
G2121,8,101.19,809.55
G5507,2,346.49,692.98
G4584,2,296.74,593.47
G3003,1,337.48,337.48
G4995,1,310.31,310.31
G4116,1,331.85,331.85
G3932,2,317.31,634.62
G2988,6,115.41,692.46
G5660,2,323.27,646.54
G5355,3,341.02,1023.05
G4168,1,331.75,331.75
G0913,6,125.09,750.57
G5625,2,362.66,725.32
G4635,3,334.66,1003.97
G3606,1,352.87,352.87
G3000,5,103.3,516.49
G4072,1,313.25,313.25
G0299,6,103.47,620.8
G0307,7,120.32,842.24
G3828,1,320.99,320.99
G2581,6,134.0,804.02
G3286,1,292.18,292.18
G5281,1,362.03,362.03
G1577,4,103.23,412.92
G3254,2,310.28,620.55
G1907,4,110.03,440.14
G4779,1,335.85,335.85
G2954,7,123.1,861.67
G2137,6,119.8,718.77
G0629,6,99.57,597.43
G1488,4,109.22,436.88
G0273,7,123.81,866.7
G0069,6,117.25,703.52
G4560,1,350.45,350.45
G4458,2,369.49,738.97
G0939,6,111.51,669.03
G0853,5,127.96,639.8
G3821,3,334.43,1003.28
G0484,6,114.36,686.15
G0271,7,112.84,789.9
G2956,7,123.58,865.07
G0710,7,115.39,807.76
G2453,5,132.05,660.23
G4607,1,336.93,336.93
G0429,7,119.44,836.09
G2278,4,102.37,409.49
G3897,1,323.35,323.35
G1153,5,115.86,579.31
G4772,1,353.68,353.68
G3002,1,346.1,346.1
G1245,5,115.25,576.26
G5504,1,348.89,348.89
G2788,4,134.42,537.69
G5253,1,317.11,317.11
G2602,6,113.96,683.78
G3097,1,311.06,311.06
G1213,5,122.98,614.89
G3561,1,325.24,325.24
G1948,5,101.65,508.27
G5991,2,322.16,644.32
G3691,2,337.27,674.54
G4639,2,323.09,646.19
G5581,2,328.04,656.08
G2327,4,109.82,439.29
G3264,2,318.5,637.01
G5530,1,315.75,315.75
G2799,5,120.1,600.51
G4414,2,322.09,644.17
G2143,6,125.34,752.03
G5623,1,327.5,327.5
G0226,7,105.12,735.85
G2272,5,140.88,704.4
G5475,2,323.03,646.07
G1678,7,126.06,882.41
G3469,2,319.73,639.46
G2141,6,109.26,655.55
G5943,1,341.81,341.81
G4509,1,337.38,337.38
G0642,7,113.17,792.22
G3965,2,353.84,707.67
G2998,4,102.83,411.3
G1328,5,124.01,620.03
G0277,6,126.7,760.21
G5023,1,341.45,341.45
G4349,1,341.72,341.72
G3563,1,338.57,338.57
G4610,1,319.92,319.92
G4793,1,330.82,330.82
G3715,1,336.82,336.82
G2386,5,115.23,576.16
G1578,7,133.21,932.44
G0445,4,121.95,487.82
G5922,2,334.64,669.27
G0774,6,107.4,644.42
G1850,6,119.79,718.76
G1772,7,105.25,736.76
G4632,1,331.59,331.59
G3536,2,322.98,645.97
G1065,5,105.08,525.42
G4378,2,341.87,683.74
G1781,4,117.79,471.16
G5685,2,347.74,695.49
G3152,1,333.48,333.48
G1599,6,119.22,715.31
