row_id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
HTL00001,2,0,1,2,Meal Plan 1,0,Room_Type 1,229,2018,8,5,Online,0,0,0,96.3,1,Not_Canceled
HTL00002,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,2018,4,24,Online,0,0,0,133.2,2,Not_Canceled
HTL00003,2,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,3,20,Online,0,0,0,139.0,0,Not_Canceled
HTL00004,2,0,0,1,Meal Plan 1,1,Room_Type 1,16,2017,10,29,Online,0,0,0,135.0,1,Not_Canceled
HTL00005,2,0,1,2,Not Selected,0,Room_Type 1,2,2018,8,15,Online,0,0,0,169.33,0,Not_Canceled
HTL00006,2,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,9,25,Online,0,0,0,117.0,2,Not_Canceled
HTL00007,2,0,0,2,Meal Plan 1,0,Room_Type 4,67,2018,4,22,Offline,0,0,0,90.95,1,Not_Canceled
HTL00008,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120.0,0,Canceled
HTL00009,1,0,0,3,Meal Plan 1,0,Room_Type 4,56,2018,6,1,Online,0,0,0,140.4,0,Not_Canceled
HTL00010,2,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,85.0,0,Not_Canceled
HTL00011,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,8,Online,0,0,0,98.0,1,Not_Canceled
HTL00012,2,0,0,2,Meal Plan 1,0,Room_Type 4,5,2018,6,21,Online,0,0,0,156.0,1,Not_Canceled
HTL00013,2,0,2,2,Meal Plan 1,0,Room_Type 1,242,2018,9,10,Online,0,0,0,100.3,0,Canceled
HTL00014,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,2018,4,24,Offline,0,0,0,95.0,0,Canceled
HTL00015,2,0,2,2,Meal Plan 1,0,Room_Type 4,5,2017,11,1,Online,0,0,0,105.0,0,Not_Canceled
HTL00016,0,2,1,2,Meal Plan 1,0,Room_Type 2,145,2018,8,15,Online,0,0,0,106.32,0,Not_Canceled
HTL00017,2,0,2,3,Meal Plan 1,0,Room_Type 1,127,2018,5,6,Online,0,0,0,99.45,0,Not_Canceled
HTL00018,2,1,0,4,Meal Plan 1,1,Room_Type 1,37,2018,8,30,Online,0,0,0,135.0,2,Not_Canceled
HTL00019,3,0,2,2,Meal Plan 1,0,Room_Type 6,29,2018,9,30,Online,0,0,0,150.61,1,Not_Canceled
HTL00020,2,0,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,90.0,1,Not_Canceled
HTL00021,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75.0,0,Canceled
HTL00022,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,2018,8,22,Online,0,0,0,96.12,1,Not_Canceled
HTL00023,2,0,2,2,Meal Plan 1,0,Room_Type 4,127,2018,6,26,Online,0,0,0,103.7,1,Not_Canceled
HTL00024,2,0,0,3,Meal Plan 1,0,Room_Type 4,19,2018,8,23,Online,0,0,0,156.0,2,Not_Canceled
HTL00025,2,0,1,2,Meal Plan 1,0,Room_Type 1,78,2018,3,25,Offline,0,0,0,100.0,0,Canceled
HTL00026,2,0,1,3,Meal Plan 1,0,Room_Type 1,5,2017,8,24,Online,0,0,0,90.0,2,Not_Canceled
HTL00027,2,0,1,2,Not Selected,0,Room_Type 1,5,2018,2,22,Online,0,0,0,77.1,0,Not_Canceled
